,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
32,1.55965435147e+18,52.09634503,5.131682502,3.520107269,3.880000114,17.9296875,10.0,10.0
33,1.55965435247e+18,52.09638233,5.131702535,4.081691742,3.819999933,17.578125,10.0,10.0
34,1.55965435347e+18,52.09641259,5.131724998,3.610866547,3.819999933,21.09375,10.0,10.0
35,1.55965435447e+18,52.09643438,5.131744612,3.482326508,2.519999981,22.1484375,10.0,10.0
36,1.55965435547e+18,52.09646008,5.131763974,3.550197601,3.849999905,23.203125,10.0,10.0
37,1.55965435647e+18,52.09648958,5.131780487,2.211269379,2.519999981,16.875,10.0,10.0
38,1.55965435747e+18,52.0965089,5.131792305,2.278102875,2.430000067,15.1171875,10.0,10.0
39,1.55965435847e+18,52.09652621,5.131804878,2.67660141,1.909999967,17.578125,10.0,10.0
40,1.55965435947e+18,52.09654276,5.131819127,2.74514389,1.909999967,23.90625,10.0,10.0
41,1.55965436047e+18,52.0965713,5.131845949,2.577846527,1.909999967,22.5,10.0,10.0
42,1.55965436147e+18,52.09660508,5.131875202,3.423732758,3.069999933,21.4453125,10.0,10.0
43,1.55965436247e+18,52.09663903,5.13189842,3.033840179,2.49000001,17.9296875,10.0,10.0
44,1.55965436347e+18,52.096663,5.131923398,3.104946136,2.49000001,26.015625,10.0,10.0
45,1.55965436447e+18,52.09668588,5.131953573,2.699062347,2.230000019,30.5859375,10.0,10.0
46,1.55965436547e+18,52.096706,5.131982071,2.906093597,2.140000105,36.5625,10.0,10.0
47,1.55965436647e+18,52.09672193,5.132004535,3.026332855,1.629999995,29.53125,10.0,10.0
48,1.55965436747e+18,52.09673228,5.13201694,3.197536469,1.629999995,14.4140625,10.0,10.0
49,1.55965436847e+18,52.09675223,5.132023562,3.959926605,1.559999943,7.03125,10.0,10.0
50,1.55965436947e+18,52.09678601,5.132043846,3.223171234,1.559999943,16.171875,10.0,10.0
51,1.55965437047e+18,52.09682527,5.13207796,3.059474945,2.890000105,28.4765625,10.0,10.0
52,1.55965437147e+18,52.0968798,5.132137975,3.445156097,3.539999962,35.859375,10.0,10.0
53,1.55965437247e+18,52.0969259,5.132182734,3.458827972,3.279999971,36.9140625,10.0,10.0
54,1.55965437347e+18,52.09696555,5.132202264,3.607143402,3.279999971,25.3125,10.0,10.0
55,1.55965437447e+18,52.09700477,5.132216932,3.727993011,2.859999895,16.875,10.0,10.0
56,1.55965437547e+18,52.09703989,5.132225817,3.941738129,2.859999895,16.875,10.0,10.0
57,1.55965437647e+18,52.09706894,5.132230092,4.026760101,2.75,13.0078125,10.0,10.0
58,1.55965437747e+18,52.09709551,5.132236043,3.944179535,2.690000057,15.1171875,10.0,10.0
59,1.55965437847e+18,52.09712166,5.132247191,3.926967621,2.559999943,19.6875,10.0,10.0
60,1.55965437947e+18,52.09716977,5.132264206,3.274990082,3.380000114,17.2265625,10.0,10.0
61,1.55965438047e+18,52.09721151,5.132285915,3.240749359,3.380000114,18.28125,10.0,10.0
62,1.55965438147e+18,52.09725237,5.132304523,2.947658539,3.519999981,14.765625,10.0,10.0
63,1.55965438247e+18,52.09728552,5.132315923,3.133388519,2.829999924,7.734375,10.0,10.0
64,1.55965438347e+18,52.09732194,5.132325059,2.821315765,2.99000001,7.03125,10.0,10.0
65,1.55965438447e+18,52.09735912,5.132336291,2.843349457,2.99000001,15.1171875,10.0,10.0
66,1.55965438547e+18,52.09739855,5.13235515,2.840358734,3.539999962,16.171875,10.0,10.0
67,1.55965438647e+18,52.09743481,5.132377446,2.611721039,3.539999962,18.984375,10.0,10.0
68,1.55965438747e+18,52.09745861,5.132403178,2.918727875,2.74000001,49.5703125,10.0,10.0
69,1.55965438847e+18,52.09747827,5.132428072,2.703151703,2.74000001,33.3984375,10.0,10.0
70,1.55965438947e+18,52.09749905,5.132453553,2.290676117,2.74000001,35.15625,10.0,10.0
71,1.55965439047e+18,52.09752852,5.132479118,2.327541351,2.890000105,24.9609375,10.0,10.0
72,1.55965439147e+18,52.09756368,5.132504012,2.580776215,3.789999962,22.8515625,10.0,10.0
73,1.55965439247e+18,52.09759427,5.132523626,2.935024261,2.789999962,25.3125,10.0,10.0
74,1.55965439347e+18,52.09762327,5.132544665,2.897609711,3.650000095,27.0703125,10.0,10.0
75,1.55965439447e+18,52.097655,5.132568972,2.904689789,3.650000095,27.7734375,10.0,10.0
76,1.55965439547e+18,52.09768413,5.132581964,2.557949066,3.650000095,19.6875,10.0,10.0
77,1.55965439647e+18,52.09771304,5.132590095,2.604701996,3.150000095,17.2265625,10.0,10.0
78,1.55965439747e+18,52.09773433,5.132599901,2.918422699,2.349999905,19.6875,10.0,10.0
79,1.55965439847e+18,52.09775177,5.132610211,3.014492035,2.349999905,21.796875,10.0,10.0
80,1.55965439947e+18,52.0977648,5.132625382,2.843532562,2.25,26.71875,10.0,10.0
81,1.55965440047e+18,52.09778303,5.132638039,2.710231781,2.25,24.609375,10.0,10.0
82,1.55965440147e+18,52.09780164,5.132645248,2.842861176,2.109999895,22.1484375,10.0,10.0
83,1.55965440247e+18,52.09782243,5.132656228,2.431484222,2.180000067,18.28125,10.0,10.0
84,1.55965440347e+18,52.09784309,5.132666621,2.449611664,2.180000067,18.6328125,10.0,10.0
85,1.55965440447e+18,52.09787326,5.132678859,2.517360687,2.180000067,17.9296875,10.0,10.0
86,1.55965440547e+18,52.09790654,5.13269227,2.535182953,3.190000057,16.171875,10.0,10.0
87,1.55965440647e+18,52.09792854,5.132702496,2.513881683,3.190000057,15.1171875,10.0,10.0
88,1.55965440747e+18,52.09795767,5.13271532,2.65896225,3.329999924,17.2265625,10.0,10.0
89,1.55965440847e+18,52.09799807,5.132728564,2.592006683,3.49000001,14.0625,10.0,10.0
90,1.55965440947e+18,52.09803239,5.132740047,2.605251312,3.49000001,12.3046875,10.0,10.0
91,1.55965441047e+18,52.09815448,5.132837696,1.495326996,3.49000001,4.921875,10.0,10.0
92,1.55965441147e+18,52.09819023,5.132855717,1.173305511,2.859999895,7.03125,10.0,10.0
93,1.55965441247e+18,52.09821667,5.132855801,1.34469223,2.609999895,348.046875,10.0,10.0
94,1.55965441347e+18,52.0982297,5.132844988,0.9957542419,2.609999895,320.2734375,10.0,10.0
95,1.55965441447e+18,52.0982082,5.132825626,1.019374847,1.629999995,249.9609375,10.0,10.0
96,1.55965441547e+18,52.09822266,5.132847168,1.045131683,1.629999995,339.609375,10.0,10.0
97,1.55965441647e+18,52.09827363,5.132889915,1.529689789,1.629999995,21.09375,10.0,10.0
98,1.55965441747e+18,52.09831189,5.132903242,1.558986664,3.569999933,13.7109375,10.0,10.0
99,1.55965441847e+18,52.09835116,5.132928221,1.695766449,4.050000191,21.796875,10.0,10.0
100,1.55965441947e+18,52.09839256,5.132957138,1.478237152,3.650000095,27.0703125,10.0,10.0
101,1.55965442047e+18,52.09843946,5.132980943,1.243190765,3.650000095,29.8828125,10.0,10.0
102,1.55965442147e+18,52.09848766,5.133006843,0.9356956482,3.650000095,23.90625,10.0,10.0
103,1.55965442247e+18,52.09853443,5.133029055,0.6654930115,3.730000019,21.09375,10.0,10.0
104,1.55965442347e+18,52.09859327,5.133053362,0.04781723022,4.010000229,20.0390625,10.0,10.0
105,1.55965442447e+18,52.09863153,5.133072389,-0.07193374634,3.730000019,19.3359375,10.0,10.0
106,1.55965442547e+18,52.09865974,5.133088231,0.001735687256,2.900000095,20.7421875,10.0,10.0
107,1.55965442647e+18,52.09870999,5.133137852,-0.3533668518,2.900000095,24.2578125,10.0,10.0
108,1.55965442747e+18,52.09874381,5.13316392,-0.3010597229,4.050000191,24.2578125,10.0,10.0
109,1.55965442847e+18,52.09877692,5.133180181,0.2243309021,4.050000191,16.171875,10.0,10.0
110,1.55965442947e+18,52.09880617,5.133201974,0.2177391052,3.25,19.6875,10.0,10.0
111,1.55965443047e+18,52.09883681,5.133216726,0.267665863,3.25,18.984375,10.0,10.0
112,1.55965443147e+18,52.09887842,5.133234244,0.417263031,3.299999952,20.0390625,10.0,10.0
113,1.55965443247e+18,52.09891136,5.133260814,0.6530418396,3.839999914,24.609375,10.0,10.0
114,1.55965443347e+18,52.09894246,5.133284619,0.6828269958,3.839999914,23.203125,10.0,10.0
115,1.55965443447e+18,52.09897326,5.133305322,0.8427391052,3.670000076,21.4453125,10.0,10.0
116,1.55965443547e+18,52.09900851,5.133319823,1.217922211,3.670000076,17.578125,10.0,10.0
117,1.55965443647e+18,52.09907167,5.133360475,0.4216575623,4.170000076,18.28125,10.0,10.0
118,1.55965443747e+18,52.09912896,5.13339241,0.7252464294,3.890000105,8.7890625,10.0,10.0
119,1.55965443847e+18,52.09913751,5.133396769,1.455043793,3.890000105,10.8984375,10.0,10.0
120,1.55965443947e+18,52.09914346,5.133400289,1.660121918,0.9900000095,15.8203125,10.0,10.0
121,1.55965444047e+18,52.09915129,5.133419819,2.299098969,0.9900000095,15.8203125,10.0,10.0
122,1.55965444147e+18,52.09918134,5.133427531,1.893520355,1.74000001,20.7421875,10.0,10.0
123,1.55965444247e+18,52.09921299,5.133445133,1.402370453,3.029999971,23.203125,10.0,10.0
124,1.55965444347e+18,52.0992637,5.133458376,1.276576996,3.029999971,14.4140625,10.0,10.0
125,1.55965444447e+18,52.09929043,5.133469524,1.256069183,2.799999952,16.5234375,10.0,10.0
126,1.55965444547e+18,52.09932518,5.133480923,1.373683929,2.799999952,21.09375,10.0,10.0
127,1.55965444647e+18,52.09935351,5.133496765,0.9319725037,2.960000038,17.578125,10.0,10.0
128,1.55965444747e+18,52.09939215,5.133518642,1.052150726,3.299999952,13.7109375,10.0,10.0
129,1.55965444847e+18,52.09942237,5.133531801,1.216701508,3.309999943,13.7109375,10.0,10.0
130,1.55965444947e+18,52.09945803,5.13358159,1.181179047,3.299999952,17.9296875,10.0,10.0
131,1.55965445047e+18,52.09947869,5.133600365,1.040431976,2.400000095,20.7421875,10.0,10.0
132,1.55965445147e+18,52.0995074,5.133620482,1.12002182,2.400000095,20.0390625,10.0,10.0
133,1.55965445247e+18,52.09953598,5.133633222,1.375392914,2.769999981,13.7109375,10.0,10.0
134,1.55965445347e+18,52.09956612,5.133647388,1.361843109,2.849999905,4.21875,10.0,10.0
135,1.55965445447e+18,52.0995983,5.13366038,1.644985199,2.849999905,10.546875,10.0,10.0
136,1.55965445547e+18,52.09961829,5.133674042,1.906703949,2.849999905,19.3359375,10.0,10.0
137,1.55965445647e+18,52.09964294,5.133686112,2.037136078,2.25,12.65625,10.0,10.0
138,1.55965445747e+18,52.09967131,5.133694159,2.384731293,2.019999981,9.4921875,10.0,10.0
139,1.55965445847e+18,52.09971452,5.133703128,2.502285004,3.069999933,6.6796875,10.0,10.0
140,1.55965445947e+18,52.09976942,5.133724334,2.146022797,3.069999933,12.3046875,10.0,10.0
141,1.55965446047e+18,52.09982239,5.13375761,2.390895844,4.050000191,22.5,10.0,10.0
142,1.55965446147e+18,52.09987138,5.133791221,2.730556488,4.309999943,19.6875,10.0,10.0
143,1.55965446247e+18,52.0999099,5.133810667,2.808803558,3.789999962,13.0078125,10.0,10.0
144,1.55965446347e+18,52.09996392,5.13381335,2.368251801,3.789999962,10.8984375,10.0,10.0
145,1.55965446447e+18,52.10001212,5.133823911,2.454128265,3.650000095,16.5234375,10.0,10.0
146,1.55965446547e+18,52.10005558,5.133842183,2.368495941,3.359999895,13.359375,10.0,10.0
147,1.55965446647e+18,52.10010289,5.133877806,2.2253685,3.349999905,25.6640625,10.0,10.0
148,1.55965446747e+18,52.10013667,5.133906892,2.308132172,3.349999905,30.5859375,10.0,10.0
149,1.55965446847e+18,52.10022883,5.133938156,2.556240082,3.349999905,29.1796875,10.0,10.0
150,1.55965446947e+18,52.10024635,5.13394922,2.669155121,1.889999986,29.1796875,10.0,10.0
151,1.55965447047e+18,52.10027535,5.133951651,1.412075043,1.879999995,7.3828125,10.0,10.0
152,1.55965447147e+18,52.10029932,5.133951735,1.347682953,1.889999986,12.3046875,5.0,5.0
153,1.55965447247e+18,52.10032837,5.133957099,1.893215179,1.730000019,14.0625,5.0,5.0
154,1.55965447347e+18,52.10034831,5.13396523,1.926357269,1.730000019,24.609375,5.0,5.0
155,1.55965447447e+18,52.10036319,5.1339773,2.050136566,1.25999999,39.0234375,10.0,10.0
156,1.55965447547e+18,52.10037631,5.134021472,2.223415375,1.25999999,71.71875,5.0,5.0
157,1.55965447647e+18,52.10038335,5.134083331,2.213832855,2.970000029,87.890625,5.0,5.0
158,1.55965447747e+18,52.10038335,5.134143177,2.291225433,3.079999924,96.6796875,5.0,5.0
159,1.55965447847e+18,52.10038075,5.134201935,2.51052475,3.079999924,99.140625,5.0,5.0
160,1.55965447947e+18,52.10037514,5.134266308,2.640102386,3.079999924,103.7109375,10.0,10.0
161,1.55965448047e+18,52.1003668,5.134332022,2.561367035,3.359999895,108.28125,10.0,10.0
162,1.55965448147e+18,52.10036097,5.134407459,2.657436371,3.630000114,110.390625,10.0,10.0
163,1.55965448247e+18,52.10035678,5.134470323,2.51052475,3.190000057,112.8515625,10.0,10.0
164,1.55965448347e+18,52.10034802,5.134520279,2.462368011,3.190000057,123.75,10.0,10.0
165,1.55965448447e+18,52.10032749,5.134572582,2.597743988,3.190000057,133.59375,10.0,10.0
166,1.55965448547e+18,52.10030188,5.134626981,2.180080414,4.019999981,133.9453125,10.0,10.0
167,1.55965448647e+18,52.10028721,5.134663191,1.839809418,4.019999981,133.9453125,5.0,5.0
168,1.55965448747e+18,52.10026533,5.134700406,2.175685883,2.730000019,135.703125,5.0,5.0
169,1.55965448847e+18,52.10023897,5.134736281,2.20217514,2.859999895,136.40625,10.0,10.0
170,1.55965448947e+18,52.10021848,5.134763857,2.419460297,2.730000019,125.15625,10.0,10.0
171,1.55965449047e+18,52.10020565,5.134793865,2.503932953,2.410000086,118.828125,10.0,10.0
172,1.55965449147e+18,52.10018675,5.134867709,2.37771225,2.410000086,117.421875,5.0,5.0
173,1.55965449247e+18,52.10017074,5.134912049,2.434780121,3.549999952,123.75,10.0,10.0
174,1.55965449347e+18,52.10016789,5.134962173,2.522975922,3.549999952,120.234375,5.0,5.0
175,1.55965449447e+18,52.10016299,5.134995701,2.423305511,2.619999886,122.6953125,5.0,5.0
176,1.55965449547e+18,52.10015314,5.135027217,2.526699066,2.519999981,124.8046875,10.0,10.0
177,1.55965449647e+18,52.10013265,5.135065606,2.047451019,2.519999981,130.078125,5.0,5.0
178,1.55965449747e+18,52.10010771,5.135111958,1.993373871,2.920000076,130.78125,5.0,5.0
179,1.55965449847e+18,52.10009418,5.135156969,1.917263031,3.140000105,112.1484375,5.0,5.0
180,1.55965449947e+18,52.10008592,5.135191334,1.749477386,2.920000076,122.6953125,5.0,5.0
181,1.55965450047e+18,52.10007485,5.135233076,1.82101059,2.680000067,116.015625,5.0,5.0
182,1.55965450147e+18,52.10006505,5.135272136,1.843105316,2.680000067,113.203125,10.0,10.0
183,1.55965450247e+18,52.10008043,5.135359308,1.685939789,2.480000019,91.0546875,5.0,5.0
184,1.55965450347e+18,52.10008898,5.135375485,1.425930023,2.480000019,54.84375,5.0,5.0
185,1.55965450447e+18,52.1001005,5.135382945,1.463222504,1.309999943,20.390625,10.0,10.0
186,1.55965450547e+18,52.10014195,5.13542234,1.408840179,1.309999943,29.1796875,5.0,5.0
187,1.55965450647e+18,52.10016345,5.135440947,1.370754242,2.480000019,21.4453125,5.0,5.0
188,1.55965450747e+18,52.10018051,5.135464501,1.19234848,2.180000067,25.6640625,5.0,5.0
189,1.55965450847e+18,52.10019987,5.135490568,0.8602561951,2.440000057,35.15625,5.0,5.0
190,1.55965450947e+18,52.10022204,5.135526862,0.784450531,2.440000057,40.78125,10.0,10.0
191,1.55965451047e+18,52.10024802,5.135574639,0.6375999451,2.670000076,28.4765625,5.0,5.0
192,1.55965451147e+18,52.10027066,5.135596767,0.6639060974,2.670000076,22.5,10.0,10.0
193,1.55965451247e+18,52.10027334,5.135639096,0.4940452576,2.299999952,27.421875,5.0,5.0
194,1.55965451347e+18,52.10029953,5.135661475,0.5457420349,3.019999981,28.125,5.0,5.0
195,1.55965451447e+18,52.10033352,5.135699362,0.5916404724,3.019999981,30.234375,5.0,5.0
196,1.55965451547e+18,52.1003608,5.135727776,0.632106781,3.160000086,31.2890625,10.0,10.0
197,1.55965451647e+18,52.10041453,5.135799693,0.7524681091,3.160000086,13.7109375,5.0,5.0
198,1.55965451747e+18,52.10044374,5.135819642,1.209621429,3.089999914,18.6328125,5.0,5.0
199,1.55965451847e+18,52.10047002,5.135837579,1.243923187,3.089999914,21.796875,5.0,5.0
200,1.55965451947e+18,52.10047744,5.135908909,1.503200531,3.089999914,59.4140625,5.0,5.0
201,1.55965452047e+18,52.10048628,5.135934558,1.531154633,1.909999967,59.4140625,5.0,5.0
202,1.55965452147e+18,52.10051889,5.135988453,1.082546234,1.909999967,28.828125,5.0,5.0
203,1.55965452247e+18,52.10053833,5.136004798,1.11623764,2.319999933,29.1796875,5.0,5.0
204,1.55965452347e+18,52.10056251,5.136028435,1.023769379,2.690000057,40.4296875,5.0,5.0
205,1.55965452447e+18,52.1005833,5.136051402,0.8490867615,2.690000057,37.265625,5.0,5.0
206,1.55965452547e+18,52.10059587,5.13607353,0.5349998474,2.690000057,39.7265625,5.0,5.0
